title,release_year,genre,vote_average,popularity,vote_count,original_language,cluster
Dark Spell,2021,"Romance, Horror, Thriller",6.7,308.037,80,ru,7
Jungle Cruise,2021,"Action, Adventure, Comedy, Fantasy",7.6,307.936,4034,en,10
Godzilla vs. Kong,2021,"Action, Fantasy, Science Fiction",7.8,307.521,7681,en,2
The Amazing Spider-Man,2012,"Action, Adventure, Fantasy",6.7,306.376,14564,en,10
Heart Shot,2022,"Romance, Crime",5.6,302.272,16,en,9
Avatar,2009,"Action, Adventure, Fantasy, Science Fiction",7.5,297.357,25011,en,11
Mobile Suit Gundam Hathaway,2021,"Animation, Action, Drama, Science Fiction",7.8,292.604,77,ja,2
Army of Thieves,2021,"Crime, Comedy",6.9,290.54,1167,en,3
UFO,2022,"Drama, Romance",5.2,290.481,15,tr,6
The Weekend Away,2022,"Thriller, Mystery",5.9,290.206,119,en,4
The Croods: A New Age,2020,"Animation, Family, Adventure, Fantasy, Comedy",7.6,284.798,2877,en,0
Back to the Outback,2021,"Animation, Family, Adventure, Comedy",7.7,282.246,341,en,0
The Tomorrow War,2021,"Action, Science Fiction, Adventure",8.0,282.068,5182,en,11
Home Team,2022,"Family, Comedy",6.9,280.613,368,en,3
The Fallout,2021,Drama,7.4,279.344,130,en,6
Raya and the Last Dragon,2021,"Family, Fantasy, Animation, Action, Adventure",8.0,277.59,5048,en,10
Infinite,2021,"Science Fiction, Action, Thriller",6.8,276.461,912,en,2
Wrath of Man,2021,"Action, Crime, Thriller",7.7,273.622,3376,en,8
Fortress,2021,"Crime, Action, Thriller",6.2,273.35,163,en,8
Space Jam: A New Legacy,2021,"Family, Animation, Comedy, Science Fiction",7.1,271.573,2952,en,0
Laura y el misterio del asesino inesperado,2022,"TV Movie, Mystery, Thriller, Comedy",7.3,266.754,8,es,4
The Conjuring: The Devil Made Me Do It,2021,"Horror, Mystery, Thriller",7.7,266.614,4233,en,7
Batman Begins,2005,"Action, Crime, Drama",7.7,265.806,17338,en,1
The Royal Treatment,2022,"Romance, Comedy",6.8,264.99,390,en,9
Ciao Alberto,2021,"Animation, Comedy, Family, Fantasy",7.5,261.672,412,en,0
Gone Mom: The Disappearance of Jennifer Dulos,2021,"TV Movie, Thriller, Crime",7.8,257.852,113,en,8
Ripper Untold,2021,Horror,6.6,257.473,75,en,5
Meander,2021,"Horror, Science Fiction, Drama, Thriller",6.1,256.866,218,fr,7
Zeros and Ones,2021,"Thriller, War",5.3,256.443,117,en,4
Snake Eyes: G.I. Joe Origins,2021,"Action, Adventure",6.8,254.31,1028,en,10
Survive the Game,2021,"Action, Thriller, Crime",5.8,252.22,107,en,8
Riverdance: The Animated Adventure,2021,"Animation, Fantasy, Music, Adventure, Comedy, Family",5.2,250.831,28,en,0
